"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.923755730E-1,-5.502391607E-3,-4.055052996E-4,5.125999451E-3
7.972478130E-1,-2.203530446E-2,1.141253114E-2,3.896713257E-3
8.021200530E-1,-5.166605115E-4,-2.925451845E-3,7.425308228E-3
8.069922920E-1,-1.702889800E-3,-6.408840418E-4,-1.044178009E-2
8.118645320E-1,1.608481258E-2,4.144079983E-3,-9.167671204E-3
8.167368230E-1,-3.046050668E-3,8.845709264E-3,4.053115845E-4
8.216090630E-1,1.236408949E-2,6.414756179E-3,-3.158569336E-3
8.264813030E-1,1.347342879E-2,7.536336780E-3,1.616477966E-3
8.313535420E-1,-9.304732084E-4,3.957763314E-3,4.148483276E-4
8.362257820E-1,1.462571323E-3,5.113944411E-3,2.785682678E-3
8.410980210E-1,-9.323857725E-3,-8.618533611E-4,2.763748169E-3
8.459703130E-1,-9.264327586E-3,-4.428029060E-3,-4.382133484E-3
8.508425530E-1,5.010835826E-3,1.703636348E-2,3.964424133E-3
8.557147920E-1,4.994921386E-3,1.570922136E-2,-9.126663208E-3
8.605870320E-1,-3.417842090E-3,2.537310123E-3,4.007339478E-3
8.654592710E-1,1.683980227E-4,2.474799752E-3,-4.335403442E-3
8.703315110E-1,1.394070685E-3,3.599986434E-3,-7.371902466E-4
8.752038030E-1,3.738895059E-3,-3.550551832E-3,7.576942444E-3
8.800760420E-1,1.085585356E-2,-1.202799380E-3,1.582431793E-2
8.849482820E-1,-8.216738701E-3,-1.803785563E-5,-3.300666809E-3
8.898205210E-1,4.891194403E-3,-5.965195596E-3,-9.209632874E-3
8.946927610E-1,-1.297338307E-2,4.770085216E-3,-3.196716309E-3
8.995650530E-1,-5.688216537E-3,9.495325387E-3,3.952026367E-3
9.044372920E-1,7.398828864E-3,-4.811786115E-3,2.731323242E-3
9.093095320E-1,-5.767468363E-3,-3.553580493E-3,1.576709747E-2
9.141817710E-1,-6.866395473E-3,-2.334710211E-3,-5.731582642E-3
9.190540110E-1,1.215160638E-2,-5.845345557E-3,-5.683898926E-3
