"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.087886460E-1,1.450762269E-3,1.145338640E-3,1.145338640E-3
3.112247920E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.136608860E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
3.160970320E-1,-1.603474026E-3,-2.519744914E-3,-6.872031372E-4
3.185331260E-1,-3.817795368E-4,-7.635590737E-5,-1.298050396E-3
3.209692710E-1,8.399150101E-4,1.145338640E-3,-7.635590737E-5
3.234054170E-1,1.450762269E-3,1.756185899E-3,-7.635590737E-5
3.258415110E-1,-1.603474026E-3,-7.635590737E-5,-7.635590737E-5
3.282776570E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
3.307137510E-1,-3.817795368E-4,1.145338640E-3,-7.635590737E-5
3.331498960E-1,2.290677221E-4,-6.872031372E-4,1.145338640E-3
3.355860420E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
3.380221360E-1,-3.817795368E-4,-7.635590737E-5,5.344913807E-4
3.404582820E-1,8.399150101E-4,5.344913807E-4,1.756185899E-3
3.428943760E-1,2.290677221E-4,-6.872031372E-4,-6.872031372E-4
3.453305210E-1,8.399150101E-4,-6.872031372E-4,-1.298050396E-3
3.477666150E-1,-9.926267667E-4,-7.635590737E-5,-6.872031372E-4
3.502027610E-1,-2.825168660E-3,-4.352286924E-3,5.344913807E-4
3.526389070E-1,2.290677221E-4,-1.298050396E-3,-1.298050396E-3
3.550750010E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.575111460E-1,1.450762269E-3,5.344913807E-4,5.344913807E-4
3.599472400E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
3.623833860E-1,2.290677221E-4,5.344913807E-4,-6.872031372E-4
3.648195320E-1,-3.817795368E-4,5.344913807E-4,1.756185899E-3
3.672556260E-1,8.399150101E-4,3.588727675E-3,-7.635590737E-5
3.696917710E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
3.721278650E-1,8.399150101E-4,2.367033157E-3,-1.908897655E-3
3.745640110E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
3.770001570E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
3.794362510E-1,2.290677221E-4,1.756185899E-3,-7.635590737E-5
3.818723960E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
3.843084900E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
3.867446360E-1,2.061609412E-3,2.977880416E-3,-6.872031372E-4
3.891807300E-1,-9.926267667E-4,-1.298050396E-3,-7.635590737E-5
3.916168760E-1,-1.603474026E-3,-6.872031372E-4,5.344913807E-4
3.940530210E-1,-3.817795368E-4,5.344913807E-4,-6.872031372E-4
3.964891150E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
3.989252610E-1,-3.817795368E-4,-6.872031372E-4,5.344913807E-4
4.013614070E-1,-9.926267667E-4,-1.298050396E-3,1.145338640E-3
4.037975010E-1,-2.214321401E-3,-1.908897655E-3,5.344913807E-4
4.062336460E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
4.086697400E-1,1.450762269E-3,1.145338640E-3,-7.635590737E-5
4.111058860E-1,1.450762269E-3,1.756185899E-3,-6.872031372E-4
4.135420320E-1,2.290677221E-4,1.756185899E-3,5.344913807E-4
4.159781260E-1,-3.817795368E-4,-6.872031372E-4,-7.635590737E-5
4.184142710E-1,-9.926267667E-4,-6.872031372E-4,-1.298050396E-3
4.208503650E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
4.232865110E-1,8.399150101E-4,1.756185899E-3,-7.635590737E-5
4.257226570E-1,8.399150101E-4,2.367033157E-3,5.344913807E-4
4.281587510E-1,2.290677221E-4,5.344913807E-4,5.344913807E-4
4.305948960E-1,2.290677221E-4,5.344913807E-4,1.145338640E-3
4.330309900E-1,2.290677221E-4,2.367033157E-3,5.344913807E-4
4.354671360E-1,-1.603474026E-3,-1.298050396E-3,5.344913807E-4
4.379032820E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
4.403393760E-1,2.290677221E-4,1.145338640E-3,5.344913807E-4
4.427755210E-1,8.399150101E-4,5.344913807E-4,5.344913807E-4
4.452116150E-1,1.450762269E-3,1.145338640E-3,-6.872031372E-4
4.476477610E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
4.500838550E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
4.525200010E-1,-9.926267667E-4,-1.298050396E-3,1.145338640E-3
4.549561460E-1,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
4.573922400E-1,-3.817795368E-4,5.344913807E-4,1.145338640E-3
4.598283860E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
4.622644800E-1,-1.603474026E-3,-6.872031372E-4,5.344913807E-4
4.647006260E-1,-9.926267667E-4,5.344913807E-4,5.344913807E-4
4.671367710E-1,-3.817795368E-4,1.145338640E-3,1.145338640E-3
4.695728650E-1,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
4.720090110E-1,8.399150101E-4,-7.635590737E-5,1.756185899E-3
4.744451050E-1,2.290677221E-4,-7.635590737E-5,-7.635590737E-5
4.768812510E-1,1.450762269E-3,5.344913807E-4,1.145338640E-3
4.793173440E-1,1.450762269E-3,1.145338640E-3,-1.298050396E-3
4.817534900E-1,2.290677221E-4,-6.872031372E-4,5.344913807E-4
4.841896360E-1,8.399150101E-4,5.344913807E-4,-6.872031372E-4
4.866257300E-1,-9.926267667E-4,-1.908897655E-3,-6.872031372E-4
4.890618760E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
4.914980210E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
4.939341150E-1,-1.603474026E-3,5.344913807E-4,-6.872031372E-4
4.963702610E-1,-3.817795368E-4,2.367033157E-3,-7.635590737E-5
4.988063550E-1,2.290677221E-4,1.145338640E-3,-6.872031372E-4
5.012425010E-1,2.290677221E-4,-1.298050396E-3,-1.298050396E-3
5.036786460E-1,1.450762269E-3,1.145338640E-3,-1.298050396E-3
5.061147400E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
5.085508860E-1,2.290677221E-4,-1.298050396E-3,-7.635590737E-5
5.109869800E-1,8.399150101E-4,-6.872031372E-4,-6.872031372E-4
5.134231260E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
5.158592190E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
5.182953650E-1,-3.817795368E-4,5.344913807E-4,-7.635590737E-5
5.207315110E-1,1.450762269E-3,1.756185899E-3,-6.872031372E-4
5.231676050E-1,-3.817795368E-4,-1.298050396E-3,5.344913807E-4
5.256037510E-1,2.061609412E-3,-6.872031372E-4,1.145338640E-3
5.280398440E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
5.304759900E-1,8.399150101E-4,5.344913807E-4,-6.872031372E-4
5.329121360E-1,2.290677221E-4,-6.872031372E-4,-7.635590737E-5
5.353482300E-1,8.399150101E-4,-7.635590737E-5,-7.635590737E-5
5.377843760E-1,-3.817795368E-4,-1.298050396E-3,-1.298050396E-3
5.402204690E-1,-9.926267667E-4,-1.908897655E-3,-6.872031372E-4
5.426566150E-1,1.450762269E-3,5.344913807E-4,-6.872031372E-4
5.450927090E-1,2.290677221E-4,-7.635590737E-5,5.344913807E-4
5.475288550E-1,-9.926267667E-4,-6.872031372E-4,-7.635590737E-5
5.499650010E-1,8.399150101E-4,-7.635590737E-5,-1.908897655E-3
5.524010940E-1,-3.817795368E-4,-1.908897655E-3,-7.635590737E-5
5.548372400E-1,8.399150101E-4,1.145338640E-3,1.756185899E-3
5.572733860E-1,-3.817795368E-4,-2.519744914E-3,-6.872031372E-4
5.597094800E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
5.621456260E-1,-3.817795368E-4,-1.298050396E-3,-7.635590737E-5
5.645817190E-1,2.290677221E-4,-6.872031372E-4,5.344913807E-4
5.670178650E-1,2.290677221E-4,1.145338640E-3,5.344913807E-4
5.694539590E-1,-9.926267667E-4,-6.872031372E-4,5.344913807E-4
5.718901050E-1,-3.817795368E-4,-7.635590737E-5,-7.635590737E-5
5.743262510E-1,-3.817795368E-4,-6.872031372E-4,1.145338640E-3
5.767623440E-1,1.450762269E-3,-7.635590737E-5,5.344913807E-4
5.791984900E-1,8.399150101E-4,1.145338640E-3,5.344913807E-4
5.816345840E-1,2.290677221E-4,-7.635590737E-5,-6.872031372E-4
5.840707300E-1,2.290677221E-4,5.344913807E-4,-7.635590737E-5
5.865068760E-1,2.061609412E-3,1.145338640E-3,-7.635590737E-5
